Unique Identifier,Product,What is your gender? - label,What is your gender? - value,What is your age group? - label,What is your age group? - value,How much do you like or dislike the PACKAGING for this product? - label,How much do you like or dislike the PACKAGING for this product? - value,In scale 1-10 how much do you think this description match with the product PACKAGING - FUN,In scale 1-10 how much do you think this description match with the product PACKAGING - CONVENIENT,In scale 1-10 how much do you think this description match with the product PACKAGING - FAMILIAR,In scale 1-10 how much do you think this description match with the product PACKAGING - CHEAP,In scale 1-10 how much do you think this description match with the product PACKAGING - BORING,In scale 1-10 how much do you think this description match with the product PACKAGING - INDIFFERENT,In scale 1-10 how much do you think this description match with the product PACKAGING - PLAIN,In scale 1-10 how much do you think this description match with the product PACKAGING - PREMIUM,"Before tasting the product, how likely would you be to purchase this product, if you didn't have to buy it for this study? - label","Before tasting the product, how likely would you be to purchase this product, if you didn't have to buy it for this study? - value",Open the packaging. How much do you like or dislike the APPEARANCE of the products? - label,Open the packaging. How much do you like or dislike the APPEARANCE of the products? - value,How would you rate the AMOUNT OF SEASONING of the products? - label,How would you rate the AMOUNT OF SEASONING of the products? - value,Taste the products. How do you like the products OVERALL? - label,Taste the products. How do you like the products OVERALL? - value,How much do you like or dislike the FLAVOR of the products? - label,How much do you like or dislike the FLAVOR of the products? - value,How would you rate the FLAVOR of the products? - label,How would you rate the FLAVOR of the products? - value,How much do you like or dislike the TEXTURE of the products? - label,How much do you like or dislike the TEXTURE of the products? - value,How much do you like or dislike the AFTERTASTE of the products? - label,How much do you like or dislike the AFTERTASTE of the products? - value,"Now that you have tasted the products, how likely would you be to re-purchase the products? - label","Now that you have tasted the products, how likely would you be to re-purchase the products? - value"
100011,B,Female,2,18-34,2,Like Very Much (8),8,5,7,2,6,3,6,8,5,Probably would purchase (4),4,Like Slightly (6),6,Just about right (3),3,Neither Like nor Dislike (5),5,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Slightly (6),6,Might or might not purchase (3),3
100012,B,Male,1,18-34,2,Like Extremely (9),9,8,8,6,4,2,4,4,6,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100013,B,Female,2,45-55,4,Dislike Slightly (4),4,8,5,8,3,3,8,3,2,Might or might not purchase (3),3,Like Slightly (6),6,Somewhat too much (4),4,Dislike Very Much (2),2,Dislike Very Much (2),2,Much too strong (5),5,Neither Like nor Dislike (5),5,Dislike Moderately (3),3,Definitely would not purchase (1),1
100014,B,Female,2,35-44,3,Like Very Much (8),8,7,8,4,3,4,5,6,5,Probably would purchase (4),4,Like Moderately (7),7,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Probably would purchase (4),4
100015,B,Female,2,18-34,2,Like Extremely (9),9,5,8,7,3,2,3,3,6,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100016,B,Female,2,45-55,4,Like Extremely (9),9,3,5,8,7,3,6,6,2,Probably would not purchase (2),2,Like Extremely (9),9,Much too little (1),1,Dislike Very Much (2),2,Dislike Very Much (2),2,Not at all strong enough (1),1,Like Very Much (8),8,Neither Like nor Dislike (5),5,Definitely would not purchase (1),1
100017,B,Female,2,35-44,3,Like Extremely (9),9,7,7,7,4,2,5,7,4,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100018,B,Female,2,35-44,3,Like Very Much (8),8,8,5,8,2,3,3,2,5,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Extremely (9),9,Dislike Slightly (4),4,Definitely would purchase (5),5
100019,B,Female,2,18-34,2,Like Very Much (8),8,6,5,5,4,1,5,8,5,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100020,B,Female,2,35-44,3,Neither Like nor Dislike (5),5,7,4,6,3,3,7,6,8,Might or might not purchase (3),3,Like Slightly (6),6,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Neither Like nor Dislike (5),5,Might or might not purchase (3),3
100021,B,Female,2,35-44,3,Like Very Much (8),8,4,8,7,2,3,3,7,8,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100022,B,Female,2,18-34,2,Like Slightly (6),6,3,6,8,4,3,3,3,6,Definitely would purchase (5),5,Like Slightly (6),6,Just about right (3),3,Like Slightly (6),6,Neither Like nor Dislike (5),5,Just about right (3),3,Neither Like nor Dislike (5),5,Neither Like nor Dislike (5),5,,
100023,B,Female,2,18-34,2,Like Extremely (9),9,8,6,7,3,3,3,2,7,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100024,B,Female,2,18-34,2,Neither Like nor Dislike (5),5,3,7,5,6,6,6,9,3,Definitely would not purchase (1),1,Like Slightly (6),6,Just about right (3),3,Dislike Moderately (3),3,Dislike Moderately (3),3,Slightly too strong (4),4,Like Slightly (6),6,Dislike Moderately (3),3,,
100025,B,Female,2,45-55,4,Neither Like nor Dislike (5),5,6,8,7,3,2,3,5,4,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100026,B,Female,2,35-44,3,Dislike Slightly (4),4,5,8,8,7,7,8,3,3,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Probably would purchase (4),4
100027,B,Female,2,45-55,4,Like Very Much (8),8,7,7,8,5,5,3,6,3,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Neither Like nor Dislike (5),5,Definitely would purchase (5),5
100028,B,Female,2,35-44,3,Like Extremely (9),9,5,3,5,5,2,3,6,7,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100029,B,Female,2,35-44,3,Like Slightly (6),6,3,5,5,5,8,5,8,4,Probably would purchase (4),4,Like Moderately (7),7,Somewhat too little (2),2,Like Slightly (6),6,Like Slightly (6),6,Not quite strong enough (2),2,Like Moderately (7),7,Like Slightly (6),6,Probably would purchase (4),4
100030,B,Female,2,35-44,3,Neither Like nor Dislike (5),5,2,6,7,6,8,8,3,3,Definitely would not purchase (1),1,Neither Like nor Dislike (5),5,Somewhat too much (4),4,Dislike Very Much (2),2,Dislike Very Much (2),2,Slightly too strong (4),4,Neither Like nor Dislike (5),5,Dislike Slightly (4),4,Definitely would not purchase (1),1
100031,B,Male,1,35-44,3,Like Moderately (7),7,8,3,7,8,3,3,3,3,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Probably would purchase (4),4
100032,B,Female,2,35-44,3,Like Very Much (8),8,4,5,9,1,3,3,3,8,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Definitely would purchase (5),5
100033,B,Female,2,35-44,3,Like Moderately (7),7,8,8,7,2,3,3,5,3,Might or might not purchase (3),3,Like Moderately (7),7,Somewhat too little (2),2,Like Moderately (7),7,Like Moderately (7),7,Not quite strong enough (2),2,Like Very Much (8),8,Dislike Slightly (4),4,Might or might not purchase (3),3
100034,B,Female,2,35-44,3,Like Slightly (6),6,7,5,8,4,3,6,5,3,Definitely would purchase (5),5,Like Moderately (7),7,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Not quite strong enough (2),2,Like Very Much (8),8,Like Moderately (7),7,Probably would purchase (4),4
100035,B,Female,2,45-55,4,Like Very Much (8),8,5,6,5,8,3,3,5,6,Definitely would purchase (5),5,Like Very Much (8),8,Somewhat too little (2),2,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Definitely would purchase (5),5
100036,B,Male,1,56-64,5,Like Very Much (8),8,9,7,3,3,3,2,5,3,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100037,B,Female,2,35-44,3,Like Extremely (9),9,7,8,7,3,2,2,4,8,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100038,B,Female,2,18-34,2,Like Moderately (7),7,7,8,8,3,3,6,3,2,Might or might not purchase (3),3,Neither Like nor Dislike (5),5,Somewhat too much (4),4,Like Slightly (6),6,Neither Like nor Dislike (5),5,Just about right (3),3,Like Moderately (7),7,Neither Like nor Dislike (5),5,Probably would not purchase (2),2
100039,B,Female,2,45-55,4,Like Very Much (8),8,4,8,7,4,2,5,2,8,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100040,B,Female,2,18-34,2,Like Moderately (7),7,8,5,6,3,3,6,5,7,Probably would purchase (4),4,Like Moderately (7),7,Somewhat too little (2),2,Like Moderately (7),7,Like Slightly (6),6,Not quite strong enough (2),2,Like Slightly (6),6,Like Slightly (6),6,Probably would purchase (4),4
100041,B,Male,1,18-34,2,Like Slightly (6),6,4,6,7,5,7,5,7,2,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Might or might not purchase (3),3
100042,B,Female,2,35-44,3,Like Slightly (6),6,3,8,6,6,7,4,8,7,Probably would not purchase (2),2,Like Slightly (6),6,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Probably would not purchase (2),2
100043,B,Female,2,35-44,3,Like Moderately (7),7,5,7,8,3,3,5,7,5,Probably would purchase (4),4,Like Very Much (8),8,Somewhat too much (4),4,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100044,B,Female,2,35-44,3,Neither Like nor Dislike (5),5,7,5,5,4,3,3,8,5,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Neither Like nor Dislike (5),5,Dislike Slightly (4),4,Just about right (3),3,Like Slightly (6),6,Dislike Slightly (4),4,Might or might not purchase (3),3
100045,B,Female,2,35-44,3,Like Moderately (7),7,7,5,8,5,5,3,2,6,Might or might not purchase (3),3,Like Slightly (6),6,Somewhat too little (2),2,Like Moderately (7),7,Like Slightly (6),6,Not quite strong enough (2),2,Like Very Much (8),8,Like Moderately (7),7,Might or might not purchase (3),3
100046,B,Female,2,35-44,3,Dislike Slightly (4),4,8,5,7,8,2,4,3,3,Definitely would purchase (5),5,Like Extremely (9),9,Somewhat too much (4),4,Like Moderately (7),7,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Neither Like nor Dislike (5),5,Probably would purchase (4),4
100047,B,Male,1,35-44,3,Neither Like nor Dislike (5),5,6,3,8,3,2,5,8,2,Might or might not purchase (3),3,Like Slightly (6),6,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Not quite strong enough (2),2,Like Moderately (7),7,Like Moderately (7),7,Probably would purchase (4),4
100048,B,Female,2,18-34,2,Like Moderately (7),7,3,8,8,2,3,4,5,8,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100049,B,Female,2,18-34,2,Like Slightly (6),6,3,9,3,5,6,5,7,5,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Not quite strong enough (2),2,Like Very Much (8),8,Like Moderately (7),7,Might or might not purchase (3),3
100050,B,Female,2,45-55,4,Neither Like nor Dislike (5),5,7,9,5,5,5,3,3,4,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Dislike Slightly (4),4,Dislike Slightly (4),4,Not quite strong enough (2),2,Like Moderately (7),7,Neither Like nor Dislike (5),5,Definitely would purchase (5),5
100051,B,Female,2,45-55,4,Like Very Much (8),8,8,8,8,5,2,7,3,3,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100052,B,Female,2,35-44,3,Like Moderately (7),7,5,5,8,3,3,2,2,6,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Slightly (6),6,Probably would purchase (4),4
100053,B,Female,2,45-55,4,Like Very Much (8),8,3,6,2,5,4,3,8,7,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Very Much (8),8,Definitely would purchase (5),5
100054,B,Female,2,45-55,4,Like Extremely (9),9,8,6,6,2,3,4,3,8,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100055,B,Female,2,45-55,4,Like Extremely (9),9,8,3,4,4,4,3,6,8,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100056,B,Female,2,35-44,3,Like Moderately (7),7,3,7,8,3,7,4,5,3,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Slightly (6),6,Probably would purchase (4),4
100057,B,Female,2,45-55,4,Like Moderately (7),7,5,9,5,5,3,5,5,3,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Definitely would purchase (5),5
100058,B,Female,2,45-55,4,Like Very Much (8),8,8,5,7,8,3,2,3,4,Might or might not purchase (3),3,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100059,B,Female,2,18-34,2,Neither Like nor Dislike (5),5,8,8,7,3,3,3,5,3,Definitely would not purchase (1),1,Like Slightly (6),6,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Neither Like nor Dislike (5),5,,
100060,B,Female,2,45-55,4,Like Very Much (8),8,5,7,5,4,3,3,9,3,Probably would not purchase (2),2,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Dislike Slightly (4),4,Might or might not purchase (3),3
100061,B,Female,2,18-34,2,Like Very Much (8),8,5,8,3,5,6,3,5,8,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Neither Like nor Dislike (5),5,Like Very Much (8),8,Slightly too strong (4),4,Like Slightly (6),6,Like Slightly (6),6,Definitely would purchase (5),5
100062,B,Female,2,45-55,4,Like Moderately (7),7,3,3,6,4,8,6,7,2,Might or might not purchase (3),3,Like Moderately (7),7,Somewhat too much (4),4,Like Slightly (6),6,Dislike Slightly (4),4,Slightly too strong (4),4,Like Slightly (6),6,Dislike Very Much (2),2,Probably would purchase (4),4
100063,B,Male,1,35-44,3,Like Moderately (7),7,2,7,3,5,8,8,7,3,Probably would not purchase (2),2,Like Very Much (8),8,Just about right (3),3,Dislike Slightly (4),4,Dislike Moderately (3),3,Not quite strong enough (2),2,Like Very Much (8),8,Dislike Moderately (3),3,,
100064,B,Female,2,18-34,2,Like Very Much (8),8,8,4,8,5,2,3,5,6,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100065,B,Female,2,35-44,3,Like Very Much (8),8,8,4,3,5,3,3,4,3,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Moderately (7),7,Definitely would purchase (5),5
100066,B,Female,2,56-64,5,Like Slightly (6),6,5,6,6,6,2,2,8,7,Might or might not purchase (3),3,Like Moderately (7),7,Much too little (1),1,Dislike Moderately (3),3,Dislike Moderately (3),3,Not at all strong enough (1),1,Neither Like nor Dislike (5),5,Dislike Extremely (1),1,Definitely would not purchase (1),1
100067,B,Female,2,35-44,3,Like Very Much (8),8,7,2,8,3,3,3,3,6,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100068,B,Female,2,35-44,3,Like Very Much (8),8,9,7,7,3,3,2,5,3,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Not quite strong enough (2),2,Like Slightly (6),6,Like Slightly (6),6,Probably would purchase (4),4
100069,B,Female,2,18-34,2,Like Extremely (9),9,5,5,4,4,5,4,3,5,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100070,B,Female,2,18-34,2,Like Extremely (9),9,5,2,7,8,3,8,3,5,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Much too strong (5),5,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100071,B,Female,2,18-34,2,Like Very Much (8),8,8,8,6,5,2,5,7,3,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,,
100072,B,Female,2,35-44,3,Like Very Much (8),8,8,7,8,2,1,4,5,7,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100073,B,Female,2,56-64,5,Like Slightly (6),6,5,8,8,3,3,6,6,6,Might or might not purchase (3),3,Neither Like nor Dislike (5),5,Somewhat too little (2),2,Dislike Slightly (4),4,Dislike Slightly (4),4,Not quite strong enough (2),2,Dislike Slightly (4),4,Dislike Slightly (4),4,Probably would not purchase (2),2
100074,B,Female,2,18-34,2,Like Very Much (8),8,4,6,8,3,5,3,3,7,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Not quite strong enough (2),2,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100075,B,Female,2,35-44,3,Like Moderately (7),7,8,8,8,3,3,3,3,4,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100076,B,Female,2,45-55,4,Like Very Much (8),8,5,7,6,2,3,3,6,6,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,,,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100077,B,Female,2,35-44,3,Dislike Moderately (3),3,3,5,5,8,8,8,8,2,Definitely would purchase (5),5,Like Very Much (8),8,Somewhat too little (2),2,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Definitely would purchase (5),5
100078,B,Female,2,56-64,5,Dislike Slightly (4),4,8,8,8,4,6,5,3,2,Probably would purchase (4),4,Like Slightly (6),6,Just about right (3),3,Like Slightly (6),6,Neither Like nor Dislike (5),5,Just about right (3),3,Like Moderately (7),7,Dislike Moderately (3),3,Might or might not purchase (3),3
100079,B,Female,2,35-44,3,Like Very Much (8),8,5,7,8,5,5,3,6,5,Definitely would not purchase (1),1,Like Extremely (9),9,Somewhat too much (4),4,Dislike Very Much (2),2,Dislike Very Much (2),2,Not quite strong enough (2),2,Like Very Much (8),8,Dislike Extremely (1),1,Definitely would not purchase (1),1
100080,B,Female,2,35-44,3,Like Moderately (7),7,7,8,4,3,3,3,7,5,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,,
100081,B,Male,1,45-55,4,Dislike Slightly (4),4,3,4,8,7,8,5,8,5,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,Dislike Very Much (2),2,Dislike Extremely (1),1,Slightly too strong (4),4,Like Slightly (6),6,Dislike Extremely (1),1,Definitely would not purchase (1),1
100082,B,Female,2,45-55,4,Like Moderately (7),7,8,5,5,5,5,3,4,7,Definitely would purchase (5),5,Neither Like nor Dislike (5),5,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Neither Like nor Dislike (5),5,Definitely would purchase (5),5
100083,B,Male,1,56-64,5,Like Very Much (8),8,7,3,8,3,2,4,3,7,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100084,B,Male,1,35-44,3,Like Moderately (7),7,8,5,7,2,3,8,6,3,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Neither Like nor Dislike (5),5,Probably would purchase (4),4
100085,B,Male,1,35-44,3,Neither Like nor Dislike (5),5,3,7,8,2,6,6,6,2,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Probably would purchase (4),4
